right_click,"65,403",,2.1020865440368652
wait,1,,
right_click,"850,161",,
insert,-,53,2.1020865440368652
down,tab,15,14.511478185653687
wait,1,,
right_click,"520,211",,
hotkey,"ctrl+a",,
insert,-,53,2.1020865440368652
down,tab,15,0.6229994297027588
insert,-,53,2.1020865440368652
down,tab,15,24.51418161392212
insert,-,53,2.1020865440368652
down,tab,15,0.8264992237091064
insert,-,53,2.1020865440368652
down,tab,15,2.1735150814056396
insert,-,53,2.1020865440368652
down,tab,15,1.5520107746124268
write,"00000000000000000",,1.8359763622283936
right_click,"700,490",,
