right_click,"65,235",,2.1020865440368652
right_click,"1166,163",,2.1020865440368652
right_click,"859,163",,2.1020865440368652
insert,-,53,2.1020865440368652
down,enter,20,0.31686854362487793
wait,1,,
right_click,"553,211",,
right_click,"553,211",,
hotkey,"ctrl+a",,
insert,-,53,2.1020865440368652
down,tab,15,1.9583508968353271
insert,-,53,1.3736577033996582
down,tab,15,0.6075546741485596
insert,-,53,0.4314146041870117
down,tab,15,0.5069339275360107
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
insert,-,53,0.5480225086212158
down,tab,15,6.970691204071045
right_click,"625,625",,
right_click,"625,625",,
